1675210080 -18
1675211280 -20
1675212480 -15
1675213680 -24
1675214880 -23
1675216080 -23
1675217280 -24
1675218480 -22
1675219680 -26
1675220880 -22
1675222080 -23
1675223280 -27
1675224480 -24
1675226880 -27
1675228080 -23
1675229280 -23
1675230480 -25
1675234080 -20
1675235280 -19
1675236480 -16
1675237680 -15
1675238880 -13
1675240080 -12
1675241280 -5
1675242480 -10
1675243680 -12
1675244880 -12
1675246080 -16
1675247280 -12
1675248480 -7
1675249680 -5
1675250880 -9
1675252080 -3
1675253280 -8
1675254480 -8
1675256880 -9
1675258080 -10
1675259280 -9
1675260480 -9
1675261680 -7
1675262880 -8
1675264080 -9
1675265280 -10
1675266480 -5
1675267680 -7
1675268880 -13
1675270080 -9
1675271280 -8
1675272480 -9
1675273680 -7
1675274880 -11
1675276080 -9
1675277280 -4
1675278480 -2
1675279680 -9
1675280880 -5
1675282080 0
1675283280 -7
1675284480 -15
1675285680 -15
1675286880 -15
1675288080 -10
1675289280 -5
1675290480 -8
1675291680 -8
1675292880 -13
1675294080 -8
1675295280 -12
1675296480 -10
1675297680 -18
1675298880 -22
1675300080 -22
1675301280 -21
1675302480 -20
1675303680 -21
1675304880 -21
1675306080 -20
1675307280 -23
1675308480 -25
1675309680 -26
1675312080 -25
1675313280 -26
1675315680 -23
1675316880 -16
1675318080 -19
1675319280 -14
1675320480 -17
1675321680 -12
1675322880 -16
1675324080 -16
1675325280 -14
1675326480 -13
1675327680 -10
1675328880 -9
1675330080 -8
1675332480 -13
1675333680 -15
1675334880 -13
1675336080 -10
1675337280 -8
1675338480 -10
1675339680 -10
1675340880 -11
1675342080 -12
1675343280 -12
1675344480 -9
1675345680 -10
1675346880 -9
1675348080 -11
1675349280 -12
1675350480 -14
1675351680 -10
1675352880 -11
1675354080 -12
1675355280 -12
1675356480 -12
1675357680 -12
1675358880 -14
1675361280 -12
1675362480 -12
1675363680 -8
1675364880 -16
1675367280 -6
1675368480 -5
1675369680 -8
1675370880 1
1675372080 -20
1675373280 -13
1675374480 -1
1675375680 -5
1675376880 -6
1675378080 -5
1675379280 -7
1675380480 -12
1675382880 -17
1675384080 -21
1675385280 -15
1675386480 -21
1675387680 -24
1675388880 -17
1675390080 -19
1675391280 -19
1675394880 -21
1675396080 -26
1675397280 -25
1675399680 -26
1675400880 -22
1675402080 -19
1675403280 -19
1675404480 -20
1675405680 -14
1675406880 -16
1675408080 -12
1675410480 -11
1675411680 -12
1675412880 -10
1675414080 -8
1675415280 -17
1675416480 -17
1675417680 -13
1675418880 -15
1675420080 -16
1675421280 -15
1675422480 -8
1675423680 -9
1675424880 -14
1675426080 -11
1675427280 -9
1675428480 -15
1675429680 -12
1675430880 -18
1675432080 -15
1675433280 -15
1675434480 -12
1675435680 -13
1675436880 -6
1675438080 -9
1675439280 -14
1675440480 -13
1675441680 -13
1675442880 -10
1675444080 -10
1675445280 -5
1675446480 -10
1675447680 -9
1675448880 -11
1675450080 -11
1675451280 -3
1675452480 -15
1675453680 -16
1675454880 -2
1675456080 -10
1675457280 -19
1675458480 -11
1675459680 -18
1675462080 -7
1675464480 -9
1675465680 -12
1675466880 -8
1675468080 -13
1675470480 -11
1675471680 -11
1675472880 -16
1675474080 -19
1675475280 -25
1675476480 -27
1675478880 -23
1675481280 -22
1675482480 -29
1675483680 -21
1675484880 -29
1675487280 -24
1675488480 -23
1675489680 -19
1675492080 -10
1675493280 -17
1675494480 -15
1675495680 -10
1675496880 -13
1675498080 -11
1675499280 -7
1675500480 -9
1675501680 -10
1675502880 -9
1675505280 -7
1675506480 -8
1675507680 -11
1675508880 -5
1675510080 -4
1675513680 -14
1675514880 -11
1675516080 -11
1675517280 -10
1675518480 -11
1675519680 -14
1675520880 -11
1675522080 -13
1675523280 -12
1675524480 -13
1675525680 -12
1675526880 -11
1675528080 -7
1675529280 -4
1675530480 -8
1675531680 -8
1675532880 -7
1675534080 -7
1675535280 -15
1675536480 -15
